GEO_ID,DP03_0004E,DP03_0005E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
0500000US06073,1572927,110391,1572927,10698,100942,151214,32865,163377,69866,31601,98128,250209,336434,170846,77949,78798
0500000US06075,511902,28573,511902,872,16297,25792,8408,43922,23701,31976,43237,134062,96297,49422,20856,17060
0500000US06077,327491,25714,327491,15758,28719,30593,9014,38168,28577,4334,14746,32997,65604,27218,14821,16942
0500000US06079,130139,7059,130139,4316,10484,9778,2435,14370,6591,2405,6199,14685,28783,15864,6616,7613
0500000US06081,409344,19757,409344,2098,22450,31063,7581,36193,24686,19042,30704,84214,84047,35112,19415,12739
0500000US06083,211109,13803,211109,17744,13398,15361,3987,20453,6931,3652,10236,26907,49254,23665,10436,9085
0500000US06085,1007768,46957,1007768,5235,51494,165373,18068,82242,30636,55967,45856,222904,193508,75943,36311,24231
0500000US06087,136507,9311,136507,6700,9077,11359,3423,14365,5698,3325,6147,17890,33736,14007,5883,4897
0500000US06089,75545,5274,75545,1567,6269,4136,1430,9420,3924,947,4142,7590,18779,7357,4413,5571
0500000US06091,1387,137,1387,198,246,89,0,15,63,0,31,58,235,317,14,121
0500000US06093,16554,1414,16554,1568,1122,1099,275,1821,684,286,610,1176,4394,1386,803,1330
0500000US06095,212151,13430,212151,2399,17895,18506,4602,23796,14811,3697,12389,20936,49257,18677,10242,14944
0500000US06097,251382,13428,251382,6292,22643,26228,5876,28811,9705,4479,12731,30504,53913,24605,14451,11144
0500000US06099,234325,21517,234325,11560,20918,28580,7634,26904,18073,2104,7590,19890,50950,19681,11530,8911
0500000US06101,41668,3431,41668,3626,3488,2706,1260,5127,2646,405,1891,3323,9110,3639,1841,2606
0500000US06103,26019,2297,26019,2093,1818,2528,285,3467,1829,193,814,2114,5901,2178,1083,1716
0500000US06105,5413,332,5413,601,795,181,85,530,255,86,94,240,1190,782,178,396
0500000US06107,187269,21293,187269,28546,11193,15662,5939,20280,9535,2047,5386,12569,40943,15607,8163,11399
0500000US06109,21541,1896,21541,511,1724,1148,106,1676,1216,275,1030,2323,5081,3402,1195,1854
0500000US06111,410141,24236,410141,20059,25955,40184,12118,40793,15030,10172,28695,52481,81705,39767,21017,22165
0500000US06113,101603,6017,101603,3736,6241,5424,2025,9373,5742,1066,4086,11270,29959,10716,4013,7952
0500000US06115,30557,2136,30557,1388,2748,2061,817,3466,1422,590,1356,2940,6734,3191,1397,2447
0500000US08001,269511,12897,269511,4507,31714,22373,8879,31665,20894,6585,14887,31147,47321,24181,13317,12041
0500000US08003,7489,435,7489,649,469,203,183,688,367,51,424,459,2212,852,418,514
0500000US08005,351117,16779,351117,3343,26323,20647,8614,35598,21664,12492,33073,53027,73560,32145,16460,14171
0500000US08007,5957,295,5957,450,783,122,5,544,217,28,192,942,1019,962,449,244
0500000US08009,1488,41,1488,378,132,52,16,77,89,3,44,60,412,32,80,113
0500000US08011,1589,103,1589,226,124,45,17,117,160,75,41,19,347,211,33,174
0500000US08013,177979,8520,177979,1976,9202,18405,2927,16986,4983,5983,9102,34669,43205,17170,7897,5474
0500000US08014,41171,1423,41171,285,1781,4255,1036,3819,1372,1813,3450,7217,9238,3567,1699,1639
0500000US08015,8945,450,8945,176,1000,233,159,905,459,175,547,1209,1598,1658,335,491
0500000US08017,810,24,810,215,69,1,29,54,63,6,35,71,162,28,26,51
0500000US08019,5647,227,5647,148,425,311,54,673,219,79,383,1079,912,846,159,359
0500000US08021,3100,268,3100,308,383,104,57,208,190,24,154,176,793,322,166,215
0500000US08023,1292,108,1292,152,110,21,37,158,106,23,42,69,337,76,53,108
0500000US08025,1714,101,1714,109,134,208,13,195,77,22,21,72,473,128,50,212
0500000US08027,1915,112,1915,82,331,148,0,168,50,28,173,178,331,92,153,181
0500000US08029,11943,661,11943,1474,1226,785,305,1420,554,203,435,906,2546,1056,656,377
0500000US08031,410401,19715,410401,3954,28706,22890,10291,33817,20556,13695,36593,78393,86650,39740,20252,14864
0500000US08033,1123,35,1123,92,193,26,23,59,24,18,34,72,170,116,27,269
0500000US08035,191220,6839,191220,2184,11174,11893,5206,19938,7214,9362,23073,32587,37211,14662,7584,9132
0500000US08037,32509,1314,32509,644,4151,774,443,3505,1233,353,2111,3722,4822,8102,1376,1273
0500000US08039,13813,276,13813,491,1645,1091,213,1303,672,455,1035,1889,2479,876,697,967
0500000US08041,335868,21692,335868,2306,26026,19602,5484,36356,14449,8022,25144,48517,79570,32142,19157,19093
0500000US08043,15271,748,15271,588,1286,739,118,1538,712,130,1033,1327,3716,1354,908,1822
0500000US08045,33168,1357,33168,1255,4654,1055,800,3416,1923,620,2365,3630,6268,3713,2087,1382
0500000US08047,3741,74,3741,46,161,363,17,129,124,204,98,474,814,832,151,328
0500000US08049,8665,453,8665,539,1092,140,41,936,656,85,674,980,1184,1614,464,260
0500000US08051,10027,441,10027,352,1288,219,126,1271,248,154,501,958,1737,2138,544,491
0500000US08053,370,15,370,0,31,11,0,30,24,20,22,44,68,34,56,30
0500000US08055,2379,133,2379,187,212,137,38,266,50,76,11,215,468,324,113,282
0500000US08057,615,61,615,97,79,0,0,59,32,8,5,89,116,58,20,52
0500000US08059,319473,13309,319473,4438,24251,23747,8045,32509,13384,8338,23937,52448,66665,28213,16191,17307
0500000US08061,693,4,693,144,53,4,6,84,46,15,18,39,206,29,21,28
0500000US08063,3446,112,3446,661,313,143,113,409,203,24,120,181,702,235,91,251
0500000US08065,4446,125,4446,307,671,143,82,335,179,39,153,584,785,777,252,139
0500000US08067,29066,994,29066,1185,2188,920,522,3921,1182,405,1636,3408,7235,3424,1348,1692
0500000US08069,188550,9002,188550,3373,13042,18721,4225,20848,7273,3024,10821,26727,46481,17329,9209,7477
0500000US08071,5855,464,5855,519,433,191,83,615,308,88,263,453,1384,739,295,484
