dataset,exclusions
ethnicity_post2020_CT,42017980000
ethnicity_post2020_CT,42045980000
ethnicity_post2020_CT,42045980200
ethnicity_post2020_CT,42049990000
ethnicity_post2020_CT,42091980000
ethnicity_post2020_CT,42091980200
ethnicity_post2020_CT,42091980300
ethnicity_post2020_CT,42101980001
ethnicity_post2020_CT,42101980002
ethnicity_post2020_CT,42101980003
ethnicity_post2020_CT,42101980300
ethnicity_post2020_CT,42101980400
ethnicity_post2020_CT,42101980500
ethnicity_post2020_CT,42101980600
ethnicity_post2020_CT,42101980701
ethnicity_post2020_CT,42101980702
ethnicity_post2020_CT,42101980800
ethnicity_post2020_CT,42101980901
ethnicity_post2020_CT,42101980902
ethnicity_post2020_CT,42101980903
ethnicity_post2020_CT,42101980904
ethnicity_post2020_CT,42101980905
ethnicity_post2020_CT,42101980906
ethnicity_post2020_CT,42101989200
ethnicity_post2020_CT,44003980000
ethnicity_post2020_CT,44005990000
ethnicity_post2020_CT,44009990100
ethnicity_post2020_CT,44009990200
ethnicity_post2020_CT,45003980100
ethnicity_post2020_CT,45013990100
ethnicity_post2020_CT,45015980100
ethnicity_post2020_CT,45019990100
ethnicity_post2020_CT,45029990100
ethnicity_post2020_CT,45041980100
ethnicity_post2020_CT,45043990100
ethnicity_post2020_CT,45051990100
ethnicity_post2020_CT,45053990100
ethnicity_post2020_CT,45063980100
ethnicity_post2020_CT,47001980100
ethnicity_post2020_CT,47009980200
ethnicity_post2020_CT,47017980100
ethnicity_post2020_CT,47029980100
ethnicity_post2020_CT,47037980100
ethnicity_post2020_CT,47037980200
ethnicity_post2020_CT,47053980100
ethnicity_post2020_CT,47065980100
ethnicity_post2020_CT,47065980200
ethnicity_post2020_CT,47145980100
ethnicity_post2020_CT,47155980100
ethnicity_post2020_CT,47157980100
ethnicity_post2020_CT,47157980200
ethnicity_post2020_CT,47157980300
ethnicity_post2020_CT,47157980402
ethnicity_post2020_CT,47161980100
ethnicity_post2020_CT,47161980200
ethnicity_post2020_CT,48007990000
ethnicity_post2020_CT,48027980002
ethnicity_post2020_CT,48027980003
ethnicity_post2020_CT,48029980001
ethnicity_post2020_CT,48029980002
ethnicity_post2020_CT,48029980004
ethnicity_post2020_CT,48039990000
ethnicity_post2020_CT,48041980000
ethnicity_post2020_CT,48057990000
ethnicity_post2020_CT,48061980001
ethnicity_post2020_CT,48061980100
ethnicity_post2020_CT,48061990000
ethnicity_post2020_CT,48071710600
ethnicity_post2020_CT,48071990000
ethnicity_post2020_CT,48085030902
ethnicity_post2020_CT,48113980000
ethnicity_post2020_CT,48113980100
ethnicity_post2020_CT,48141980000
ethnicity_post2020_CT,48167990000
ethnicity_post2020_CT,48167990100
ethnicity_post2020_CT,48201324102
ethnicity_post2020_CT,48201340201
ethnicity_post2020_CT,48201980100
ethnicity_post2020_CT,48215980000
ethnicity_post2020_CT,48245980000
ethnicity_post2020_CT,48245990000
ethnicity_post2020_CT,48261990000
ethnicity_post2020_CT,48273990000
ethnicity_post2020_CT,48303980000
ethnicity_post2020_CT,48309980000
ethnicity_post2020_CT,48321990000
ethnicity_post2020_CT,48329980000
ethnicity_post2020_CT,48355980000
ethnicity_post2020_CT,48355990000
ethnicity_post2020_CT,48423980000
ethnicity_post2020_CT,48439980000
ethnicity_post2020_CT,48441980000
ethnicity_post2020_CT,48451980000
ethnicity_post2020_CT,48453980000
ethnicity_post2020_CT,48465980000
ethnicity_post2020_CT,48469980000
ethnicity_post2020_CT,48479980000
ethnicity_post2020_CT,48485980000
ethnicity_post2020_CT,48489990000
ethnicity_post2020_CT,49035980000
ethnicity_post2020_CT,49035980100
ethnicity_post2020_CT,49045980000
ethnicity_post2020_CT,49049980100
ethnicity_post2020_CT,49049980600
ethnicity_post2020_CT,49051980100
ethnicity_post2020_CT,50007980000
ethnicity_post2020_CT,51001980200
ethnicity_post2020_CT,51001990100
ethnicity_post2020_CT,51001990200
ethnicity_post2020_CT,51013980200
ethnicity_post2020_CT,51053980100
ethnicity_post2020_CT,51059980200
ethnicity_post2020_CT,51059980300
ethnicity_post2020_CT,51087980100
ethnicity_post2020_CT,51103990100
ethnicity_post2020_CT,51107980100
ethnicity_post2020_CT,51115990100
ethnicity_post2020_CT,51119990100
ethnicity_post2020_CT,51131990100
ethnicity_post2020_CT,51133990100
ethnicity_post2020_CT,51153980100
ethnicity_post2020_CT,51155980100
ethnicity_post2020_CT,51155980200
ethnicity_post2020_CT,51199990100
ethnicity_post2020_CT,51510980000
ethnicity_post2020_CT,51590980100
ethnicity_post2020_CT,51650990100
ethnicity_post2020_CT,51670980100
ethnicity_post2020_CT,51710980100
ethnicity_post2020_CT,51710980200
ethnicity_post2020_CT,51710980300
ethnicity_post2020_CT,51710990000
ethnicity_post2020_CT,51735990100
ethnicity_post2020_CT,51810990100
ethnicity_post2020_CT,53005012000
ethnicity_post2020_CT,53009990100
ethnicity_post2020_CT,53021980100
ethnicity_post2020_CT,53027990000
ethnicity_post2020_CT,53029992201
ethnicity_post2020_CT,53031990000
ethnicity_post2020_CT,53033990100
ethnicity_post2020_CT,53035990100
ethnicity_post2020_CT,53049990100
ethnicity_post2020_CT,53055990100
ethnicity_post2020_CT,53057990100
ethnicity_post2020_CT,53061990002
ethnicity_post2020_CT,53061990100
ethnicity_post2020_CT,53067990100
ethnicity_post2020_CT,54021980000
ethnicity_post2020_CT,55003990000
ethnicity_post2020_CT,55007990000
ethnicity_post2020_CT,55025991702
