GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01037","Coosa, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",139433,140840,138639,148492,164336,177830,174143,158641,166933,164052,172458,164344,181739,171503,182353,193447,187929,200106,203146,205716,215536
 "01039","Covington, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",988519,1046748,994662,1088752,1079717,1079205,1063114,1045703,1038753,1100486,1048214,1104844,1146609,1137016,1129562,1126837,1161153,1164040,1100695,1091293,1151784
 "01039","Covington, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.471,94.742,90.027,98.543,97.726,97.679,96.223,94.647,94.018,99.606,94.874,100.000,103.780,102.912,102.237,101.991,105.097,105.358,99.624,98.773,104.249
 "01039","Covington, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",778812,829168,805356,911855,920775,948606,972038,972391,991209,1061678,1033547,1104844,1172958,1192768,1203833,1205315,1265100,1295378,1256170,1268294,1427931
 "01041","Crenshaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",266412,256119,275591,306679,367877,381232,336776,337009,326911,377849,370809,413931,442476,411822,423489,390742,418609,446440,437554,369821,441247
 "01041","Crenshaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.362,61.875,66.579,74.089,88.874,92.100,81.360,81.417,78.977,91.283,89.582,100.000,106.896,99.491,102.309,94.398,101.130,107.854,105.707,89.344,106.599
 "01041","Crenshaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",214458,204986,231013,274760,317005,325374,310991,313512,301975,356828,357691,413931,453862,427074,444315,406904,444371,473183,469407,402838,486101
 "01043","Cullman, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2024681,2000973,2090695,2287461,2412173,2377411,2255071,2207657,2187006,2243668,2270412,2314988,2485582,2466060,2602055,2552660,2589832,2592454,2656667,2610437,2912833
 "01043","Cullman, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.460,86.436,90.311,98.811,104.198,102.696,97.412,95.364,94.472,96.919,98.074,100.000,107.369,106.526,112.400,110.267,111.872,111.986,114.759,112.762,125.825
 "01043","Cullman, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1626123,1621074,1732288,1962240,2078996,2089295,2056243,2050398,2082880,2154945,2212187,2314988,2542911,2560936,2755454,2725939,2808984,2862644,2999962,3015163,3508691
 "01045","Dale, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1974020,2032274,2094964,2247078,2497578,2600978,2621689,2727801,2785015,2913740,2811640,2767060,2793261,2627856,2668813,2603565,2597209,2537891,2561466,2464664,2632339
 "01045","Dale, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.340,73.445,75.711,81.208,90.261,93.998,94.746,98.581,100.649,105.301,101.611,100.000,100.947,94.969,96.449,94.091,93.862,91.718,92.570,89.072,95.131
 "01045","Dale, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1477854,1567711,1676253,1849119,2115254,2280485,2372991,2519298,2642857,2807944,2763444,2767060,2846433,2732435,2835140,2791353,2826667,2816451,2905698,2852051,3147114
 "01047","Dallas, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1263245,1220822,1207732,1290680,1355134,1381787,1313038,1243242,1201003,1187738,1193441,1213060,1216109,1197863,1083265,1108266,1118297,1122851,1112919,1098502,1061713
 "01047","Dallas, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.137,100.640,99.561,106.399,111.712,113.909,108.242,102.488,99.006,97.913,98.383,100.000,100.251,98.747,89.300,91.361,92.188,92.564,91.745,90.556,87.523
 "01047","Dallas, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",986457,965373,969601,1064619,1140252,1196969,1180979,1139407,1136179,1142918,1170364,1213060,1250933,1254150,1162086,1198272,1235464,1262358,1272842,1271596,1285684
 "01049","DeKalb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1665761,1670217,1701610,1851815,1825508,1881909,1832587,1778914,1676105,1714656,1569220,1591167,1788775,1770694,1824325,1750675,1841784,1912735,1864771,1783136,1973395
 "01049","DeKalb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.688,104.968,106.941,116.381,114.728,118.272,115.172,111.799,105.338,107.761,98.621,100.000,112.419,111.283,114.653,110.025,115.751,120.210,117.195,112.065,124.022
 "01049","DeKalb, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1384047,1399162,1443361,1605515,1584622,1654578,1658145,1632925,1583290,1634523,1525191,1591167,1830698,1835363,1919055,1849852,1972209,2070880,2065709,2021950,2292052
 "01051","Elmore, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1100289,1179265,1271018,1414722,1493377,1501676,1568769,1582791,1628357,1691771,1648571,1713508,1718968,1690970,1695263,1742986,1773294,1788247,1812579,1740649,1787108
 "01051","Elmore, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.213,68.822,74.176,82.563,87.153,87.638,91.553,92.371,95.031,98.731,96.210,100.000,100.319,98.685,98.935,101.720,103.489,104.362,105.782,101.584,104.295
 "01051","Elmore, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",899653,980897,1071889,1216069,1315000,1362295,1460706,1490747,1573550,1641521,1619966,1713508,1752375,1764023,1809763,1888669,1956961,2019349,2097016,2063270,2213256
 "01053","Escambia, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1160030,1159683,1137053,1228510,1318124,1333634,1372246,1275326,1238349,1188177,1171842,1205440,1231335,1195066,1219146,1239022,1235020,1213865,1210415,1176516,1176856
 "01053","Escambia, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.233,96.204,94.327,101.914,109.348,110.635,113.838,105.798,102.730,98.568,97.213,100.000,102.148,99.139,101.137,102.786,102.454,100.699,100.413,97.601,97.629
 "01053","Escambia, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",868697,859003,896554,1019235,1168255,1214752,1294817,1316312,1126601,1151466,1178891,1205440,1268937,1254726,1202254,1216073,1266408,1297373,1295203,1256933,1370932
 "01055","Etowah, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2638640,2676509,2718854,2883531,2925703,2836172,2818873,2782811,2758102,2771244,2802342,2718162,2761488,2740766,2808719,2805072,2803969,2833867,2766052,2558388,2596715
 "01055","Etowah, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.074,98.468,100.025,106.084,107.635,104.342,103.705,102.378,101.469,101.953,103.097,100.000,101.594,100.832,103.332,103.197,103.157,104.257,101.762,94.122,95.532
 "01055","Etowah, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2070544,2144737,2215057,2402021,2497972,2500105,2549666,2569609,2628384,2657982,2728177,2718162,2820233,2849926,3001050,3047021,3081524,3173919,3178107,3016054,3175372
 "01057","Fayette, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",385868,365258,372575,394819,407434,401841,384601,469992,454493,505864,461991,456089,396408,335071,340211,336911,318927,316011,320650,310902,324913
 "01057","Fayette, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.604,80.085,81.689,86.566,89.332,88.106,84.326,103.048,99.650,110.914,101.294,100.000,86.915,73.466,74.593,73.870,69.926,69.287,70.304,68.167,71.239
