GeoFIPS,GeoName,CountyFIPS,CountyName
17140,"Cincinnati, OH-KY-IN (MA)",21037,"Campbell, KY"
17140,"Cincinnati, OH-KY-IN (MA)",21077,"Gallatin, KY"
17140,"Cincinnati, OH-KY-IN (MA)",21081,"Grant, KY"
17140,"Cincinnati, OH-KY-IN (MA)",21117,"Kenton, KY"
17140,"Cincinnati, OH-KY-IN (MA)",21191,"Pendleton, KY"
17140,"Cincinnati, OH-KY-IN (MA)",39015,"Brown, OH"
17140,"Cincinnati, OH-KY-IN (MA)",39017,"Butler, OH"
17140,"Cincinnati, OH-KY-IN (MA)",39025,"Clermont, OH"
17140,"Cincinnati, OH-KY-IN (MA)",39061,"Hamilton, OH"
17140,"Cincinnati, OH-KY-IN (MA)",39165,"Warren, OH"
17300,"Clarksville, TN-KY (MA)",21047,"Christian, KY"
17300,"Clarksville, TN-KY (MA)",21221,"Trigg, KY"
17300,"Clarksville, TN-KY (MA)",47125,"Montgomery, TN"
17300,"Clarksville, TN-KY (MA)",47161,"Stewart, TN"
17420,"Cleveland, TN (MA)",47011,"Bradley, TN"
17420,"Cleveland, TN (MA)",47139,"Polk, TN"
17460,"Cleveland-Elyria, OH (MA)",39035,"Cuyahoga, OH"
17460,"Cleveland-Elyria, OH (MA)",39055,"Geauga, OH"
17460,"Cleveland-Elyria, OH (MA)",39085,"Lake, OH"
17460,"Cleveland-Elyria, OH (MA)",39093,"Lorain, OH"
17460,"Cleveland-Elyria, OH (MA)",39103,"Medina, OH"
17660,"Coeur d'Alene, ID (MA)",16055,"Kootenai, ID"
17780,"College Station-Bryan, TX (MA)",48041,"Brazos, TX"
17780,"College Station-Bryan, TX (MA)",48051,"Burleson, TX"
17780,"College Station-Bryan, TX (MA)",48395,"Robertson, TX"
17820,"Colorado Springs, CO (MA)",8041,"El Paso, CO"
17820,"Colorado Springs, CO (MA)",8119,"Teller, CO"
17860,"Columbia, MO (MA)",29019,"Boone, MO"
17860,"Columbia, MO (MA)",29053,"Cooper, MO"
17860,"Columbia, MO (MA)",29089,"Howard, MO"
17900,"Columbia, SC (MA)",45017,"Calhoun, SC"
17900,"Columbia, SC (MA)",45039,"Fairfield, SC"
17900,"Columbia, SC (MA)",45055,"Kershaw, SC"
17900,"Columbia, SC (MA)",45063,"Lexington, SC"
17900,"Columbia, SC (MA)",45079,"Richland, SC"
17900,"Columbia, SC (MA)",45081,"Saluda, SC"
17980,"Columbus, GA-AL (MA)",1113,"Russell, AL"
17980,"Columbus, GA-AL (MA)",13053,"Chattahoochee, GA"
17980,"Columbus, GA-AL (MA)",13145,"Harris, GA"
17980,"Columbus, GA-AL (MA)",13197,"Marion, GA"
17980,"Columbus, GA-AL (MA)",13215,"Muscogee, GA"
17980,"Columbus, GA-AL (MA)",13259,"Stewart, GA"
17980,"Columbus, GA-AL (MA)",13263,"Talbot, GA"
18020,"Columbus, IN (MA)",18005,"Bartholomew, IN"
18140,"Columbus, OH (MA)",39041,"Delaware, OH"
18140,"Columbus, OH (MA)",39045,"Fairfield, OH"
18140,"Columbus, OH (MA)",39049,"Franklin, OH"
18140,"Columbus, OH (MA)",39073,"Hocking, OH"
18140,"Columbus, OH (MA)",39089,"Licking, OH"
18140,"Columbus, OH (MA)",39097,"Madison, OH"
18140,"Columbus, OH (MA)",39117,"Morrow, OH"
18140,"Columbus, OH (MA)",39127,"Perry, OH"
18140,"Columbus, OH (MA)",39129,"Pickaway, OH"
18140,"Columbus, OH (MA)",39159,"Union, OH"
18580,"Corpus Christi, TX (MA)",48355,"Nueces, TX"
18580,"Corpus Christi, TX (MA)",48409,"San Patricio, TX"
18700,"Corvallis, OR (MA)",41003,"Benton, OR"
18880,"Crestview-Fort Walton Beach-Destin, FL (MA)",12091,"Okaloosa, FL"
18880,"Crestview-Fort Walton Beach-Destin, FL (MA)",12131,"Walton, FL"
19060,"Cumberland, MD-WV (MA)",24001,"Allegany, MD"
19060,"Cumberland, MD-WV (MA)",54057,"Mineral, WV"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48085,"Collin, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48113,"Dallas, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48121,"Denton, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48139,"Ellis, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48231,"Hunt, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48251,"Johnson, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48257,"Kaufman, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48367,"Parker, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48397,"Rockwall, TX"
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48439,"Tarrant, TX"
