GEO_ID,NAME,DP05_0070E,DP05_0070M,DP05_0070MA,DP05_0070EA,DP05_0071E,DP05_0071M,DP05_0071MA,DP05_0071EA,DP05_0072E,DP05_0072M,DP05_0072MA,DP05_0072EA,DP05_0073E,DP05_0073M,DP05_0073MA,DP05_0073EA,DP05_0074E,DP05_0074M,DP05_0074MA,DP05_0074EA,DP05_0075E,DP05_0075M,DP05_0075MA,DP05_0075EA,DP05_0076E,DP05_0076M,DP05_0076MA,DP05_0076EA,DP05_0077E,DP05_0077M,DP05_0077MA,DP05_0077EA,DP05_0078E,DP05_0078EA,DP05_0078M,DP05_0078MA,DP05_0079E,DP05_0079M,DP05_0079MA,DP05_0079EA,DP05_0080E,DP05_0080M,DP05_0080MA,DP05_0080EA,DP05_0081E,DP05_0081M,DP05_0081MA,DP05_0081EA,DP05_0082E,DP05_0082M,DP05_0082MA,DP05_0082EA,DP05_0083E,DP05_0083M,DP05_0083MA,DP05_0083EA,DP05_0084E,DP05_0084M,DP05_0084MA,DP05_0084EA,DP05_0085E,DP05_0085M,DP05_0085MA,DP05_0085EA
0500000US48105,"Crockett County, Texas",2939,314,,,1779,310,,,1779,310,,,0,14,,,0,14,,,0,14,,,1160,219,,,1114,220,,,46,,55,,0,14,,,0,14,,,0,14,,,0,14,,,0,14,,,0,14,,,0,14,,
0500000US48107,"Crosby County, Texas",5265,*****,*****,,2983,*****,*****,,2588,150,,,28,33,,,1,2,,,366,146,,,2282,*****,*****,,2008,16,,,154,,43,,0,20,,,33,28,,,15,18,,,15,20,,,57,39,,,0,20,,,57,39,,
0500000US48109,"Culberson County, Texas",2209,*****,*****,,1831,172,,,1786,171,,,1,2,,,43,58,,,1,3,,,378,172,,,265,143,,,3,,4,,91,138,,,19,32,,,0,14,,,0,14,,,0,14,,,0,14,,,0,14,,
0500000US48111,"Dallam County, Texas",7135,*****,*****,,3363,*****,*****,,3197,140,,,2,4,,,0,20,,,164,140,,,3772,*****,*****,,3704,59,,,3,,6,,23,31,,,0,20,,,0,20,,,0,20,,,42,46,,,0,20,,,42,46,,
0500000US48113,"Dallas County, Texas",2604722,*****,*****,,1060847,*****,*****,,863474,7133,,,14239,1402,,,9257,1704,,,173877,7145,,,1543875,*****,*****,,727315,1056,,,577977,,2466,,5260,500,,,170330,1408,,,772,197,,,6481,1121,,,55740,2782,,,5083,818,,,50657,2627,,
0500000US48115,"Dawson County, Texas",12371,*****,*****,,7250,*****,*****,,6418,342,,,71,65,,,48,39,,,713,346,,,5121,*****,*****,,3845,184,,,1008,,203,,45,43,,,17,25,,,2,6,,,0,23,,,204,78,,,69,43,,,135,69,,
0500000US48117,"Deaf Smith County, Texas",18675,*****,*****,,13895,*****,*****,,12621,555,,,164,187,,,204,292,,,906,454,,,4780,*****,*****,,4315,13,,,139,,86,,64,76,,,177,99,,,0,23,,,8,13,,,77,60,,,0,23,,,77,60,,
0500000US48119,"Delta County, Texas",5251,*****,*****,,468,*****,*****,,431,58,,,11,23,,,0,20,,,26,50,,,4783,*****,*****,,4141,27,,,445,,35,,2,4,,,17,19,,,0,20,,,19,27,,,159,20,,,0,20,,,159,20,,
0500000US48121,"Denton County, Texas",885012,*****,*****,,173708,*****,*****,,127280,2956,,,10645,1886,,,3017,798,,,32766,2316,,,711304,*****,*****,,503938,773,,,89075,,1845,,1960,336,,,83598,1103,,,723,103,,,1972,525,,,30038,2263,,,3683,736,,,26355,2186,,
0500000US48123,"DeWitt County, Texas",19834,*****,*****,,7185,*****,*****,,6602,238,,,39,78,,,15,19,,,529,220,,,12649,*****,*****,,10614,74,,,1593,,143,,17,15,,,9,18,,,0,23,,,50,63,,,366,149,,,59,44,,,307,143,,
0500000US48125,"Dickens County, Texas",1569,174,,,531,135,,,360,111,,,0,14,,,0,14,,,171,108,,,1038,138,,,992,130,,,33,,24,,0,14,,,8,12,,,5,7,,,0,14,,,0,14,,,0,14,,,0,14,,
0500000US48127,"Dimmit County, Texas",8840,*****,*****,,7760,*****,*****,,7011,389,,,0,20,,,0,20,,,749,389,,,1080,*****,*****,,866,17,,,19,,17,,18,32,,,140,68,,,0,20,,,5,11,,,32,58,,,7,17,,,25,56,,
0500000US48129,"Donley County, Texas",3266,*****,*****,,387,*****,*****,,301,68,,,14,25,,,0,14,,,72,64,,,2879,*****,*****,,2580,14,,,219,,55,,7,11,,,8,11,,,0,14,,,0,14,,,65,49,,,0,14,,,65,49,,
0500000US48131,"Duval County, Texas",10001,*****,*****,,8934,*****,*****,,8516,275,,,8,17,,,0,23,,,410,275,,,1067,*****,*****,,962,52,,,97,,49,,0,23,,,0,23,,,0,23,,,1,2,,,7,17,,,0,23,,,7,17,,
0500000US48133,"Eastland County, Texas",17785,*****,*****,,3043,*****,*****,,2775,139,,,13,18,,,11,24,,,244,135,,,14742,*****,*****,,13882,39,,,372,,103,,41,35,,,71,64,,,0,23,,,0,23,,,376,119,,,30,41,,,346,108,,
0500000US48135,"Ector County, Texas",161258,*****,*****,,101156,*****,*****,,93703,1494,,,309,194,,,1310,770,,,5834,1327,,,60102,*****,*****,,48395,313,,,7320,,337,,452,161,,,1647,141,,,39,51,,,308,325,,,1941,433,,,103,92,,,1838,422,,
0500000US48137,"Edwards County, Texas",1366,197,,,619,215,,,617,215,,,1,2,,,0,14,,,1,2,,,747,185,,,742,185,,,1,,3,,2,4,,,0,14,,,0,14,,,0,14,,,2,4,,,0,14,,,2,4,,
0500000US48139,"Ellis County, Texas",187984,*****,*****,,51109,*****,*****,,46123,969,,,551,236,,,319,287,,,4116,884,,,136875,*****,*****,,108933,293,,,20976,,689,,355,101,,,1371,189,,,37,34,,,356,268,,,4847,753,,,552,241,,,4295,703,,
0500000US48141,"El Paso County, Texas",860485,*****,*****,,713245,*****,*****,,672664,3427,,,8085,1033,,,1612,638,,,30884,3340,,,147240,*****,*****,,98627,282,,,24593,,835,,2296,276,,,9084,531,,,1179,180,,,879,330,,,10582,989,,,681,260,,,9901,954,,
0500000US48143,"Erath County, Texas",42288,*****,*****,,9194,*****,*****,,7670,629,,,212,137,,,19,28,,,1293,627,,,33094,*****,*****,,31091,68,,,605,,221,,186,103,,,426,37,,,63,66,,,29,38,,,694,217,,,57,67,,,637,201,,
0500000US48145,"Falls County, Texas",17074,*****,*****,,4142,*****,*****,,3743,194,,,30,32,,,5,6,,,364,184,,,12932,*****,*****,,8582,39,,,3756,,251,,16,25,,,90,117,,,0,23,,,0,23,,,488,236,,,46,39,,,442,236,,
0500000US48147,"Fannin County, Texas",35453,*****,*****,,4292,*****,*****,,3696,237,,,10,12,,,36,38,,,550,241,,,31161,*****,*****,,27511,97,,,2072,,184,,198,63,,,165,76,,,21,33,,,29,35,,,1165,248,,,93,95,,,1072,226,,
0500000US48149,"Fayette County, Texas",24445,*****,*****,,5344,*****,*****,,5162,276,,,6,6,,,0,27,,,176,276,,,19101,*****,*****,,17169,56,,,1511,,78,,14,23,,,127,27,,,0,27,,,5,20,,,275,104,,,72,51,,,203,83,,
0500000US48151,"Fisher County, Texas",3720,*****,*****,,1083,133,,,1052,129,,,1,3,,,0,14,,,30,31,,,2637,133,,,2463,130,,,77,,45,,1,3,,,8,11,,,0,14,,,0,14,,,88,36,,,8,9,,,80,34,,
0500000US48153,"Floyd County, Texas",5478,*****,*****,,3248,*****,*****,,3088,138,,,78,113,,,0,20,,,82,64,,,2230,*****,*****,,1968,20,,,154,,53,,0,20,,,13,16,,,0,20,,,0,20,,,95,53,,,0,20,,,95,53,,
0500000US48155,"Foard County, Texas",1087,175,,,235,103,,,142,63,,,0,14,,,0,14,,,93,86,,,852,157,,,737,129,,,1,,5,,8,10,,,9,17,,,0,14,,,0,14,,,97,86,,,0,14,,,97,86,,
0500000US48157,"Fort Bend County, Texas",806497,*****,*****,,201001,*****,*****,,132058,4348,,,4218,1141,,,3948,1181,,,60777,4389,,,605496,*****,*****,,251084,1206,,,160594,,2107,,1071,350,,,167327,1667,,,398,126,,,2316,653,,,22706,2542,,,3281,1058,,,19425,2518,,
0500000US48159,"Franklin County, Texas",10413,*****,*****,,1595,*****,*****,,1543,65,,,0,23,,,0,23,,,52,65,,,8818,*****,*****,,8044,23,,,501,,52,,14,24,,,3,6,,,0,23,,,14,21,,,242,56,,,6,10,,,236,56,,
