parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn
2302924130962,2016-08-29,Alia,200 Central Ave SE,St. Anthony Main,3,False,214,389,387,34711.30766119,True,True,True
2602924320345,2016-08-29,,1400 Park Ave,Elliot Park,7,True,246,289,126,78085.101412,False,False,True
0602823320126,2016-09-19,,3454 33rd Ave S,Longfellow,12,False,1,0,0,6446.27944554,False,False,True
2402924110152,2016-09-19,,1501 Como Ave SE,Como,2,False,30,12,39,10591.53959959,True,False,False
3302924110017,2016-10-17,Theater Garage Marquee Apts,2004 Lyndale Ave S,Lowry Hill East,10,False,113,99,57,14344.19457223,False,True,True
3402924330034,2016-10-17,Rana Village,2900 Pleasant Ave,Whittier,10,False,120,60,70,971.34793559,False,False,True
0202824120257,2016-10-17,The Lofts on East Lake,1405 E Lake St,Powderhorn Park,9,False,12,0,6,36851.22546455,False,True,True
2702924310035,2016-11-01,,12 W 15th St,Loring Park,7,True,75,34,99,6988.94468197,False,True,True
3502924140260,2016-11-14,,2517 Bloomington Ave,East Phillips,9,False,2,2,0,4769.63782225,False,False,True
3402924320423,2016-12-05,REX 26,2601 Lyndale Ave S,Whittier,10,False,77,78,78,31919.83653023,False,True,True
3002923240005,2016-12-05,,2618 Essex St SE,Prospect Park,2,False,25,9,33,8635.48595442,True,False,False
2702924410122,2017-01-09,The Aberdeen,1321 5th Ave S,Elliot Park,7,True,50,17,29,12814.47123086,False,False,False
0402824210185,2017-01-09,Tula,3009 Holmes Ave S,ECCO,10,False,71,39,90,5840.87951774,False,True,True
0402824420030,2017-01-23,,3453 Hennepin Ave,SOUP,10,False,3,0,0,5358.5971641,False,True,True
3002923130109,2017-02-06,Green on Fourth,2901 4th St SE,Prospect Park,2,False,243,195,310,70058.19907012,True,False,False
2602924120975,2017-02-21,Ironclad,811 Washington Ave S,Mill District,3,True,191,232,171,71732.49064392,False,True,True
3502924410263,2017-03-06,,2700 Cedar Ave S,East Phillips,9,False,1,1,0,7180.54308752,False,False,False
2102924340197,2017-03-20,Leef Block Redevelopment,221 Irving Ave N,Harrison,5,False,110,110,55,47795.23020306,False,False,True
3402924220278,2017-03-20,,2009 Lyndale Ave S,Whittier,10,False,75,34,66,14251.18633537,False,True,True
1502924140114,2017-04-10,,1319 Marshall St NE,Sheridan,3,False,110,47,78,6683.47833065,False,False,True
2202924240813,2017-04-24,Nordic House,729 Washington Ave N,North Loop,3,True,57,61,32,66840.54716313,False,False,True
