GeoFIPS,GeoName,median_rent
18027,"Daviess, IN",743.0
18029,"Dearborn, IN",790.0
18031,"Decatur, IN",799.0
18033,"DeKalb, IN",735.0
18035,"Delaware, IN",763.0
18037,"Dubois, IN",715.0
18039,"Elkhart, IN",859.0
18041,"Fayette, IN",699.0
18043,"Floyd, IN",868.0
18045,"Fountain, IN",723.0
18047,"Franklin, IN",671.0
18049,"Fulton, IN",735.0
18051,"Gibson, IN",762.0
18053,"Grant, IN",739.0
18055,"Greene, IN",688.0
18057,"Hamilton, IN",1265.0
18059,"Hancock, IN",983.0
18061,"Harrison, IN",820.0
18063,"Hendricks, IN",1159.0
18065,"Henry, IN",741.0
18067,"Howard, IN",790.0
18069,"Huntington, IN",732.0
18071,"Jackson, IN",823.0
18073,"Jasper, IN",839.0
18075,"Jay, IN",709.0
18077,"Jefferson, IN",759.0
18079,"Jennings, IN",815.0
18081,"Johnson, IN",1056.0
18083,"Knox, IN",698.0
18085,"Kosciusko, IN",852.0
18087,"Lagrange, IN",743.0
18089,"Lake, IN",947.0
18091,"LaPorte, IN",809.0
18093,"Lawrence, IN",718.0
18095,"Madison, IN",828.0
18097,"Marion, IN",959.0
18099,"Marshall, IN",833.0
18101,"Martin, IN",563.0
18103,"Miami, IN",739.0
18105,"Monroe, IN",993.0
18107,"Montgomery, IN",719.0
18109,"Morgan, IN",845.0
18111,"Newton, IN",776.0
18113,"Noble, IN",724.0
18115,"Ohio, IN",698.0
18117,"Orange, IN",688.0
18119,"Owen, IN",800.0
18121,"Parke, IN",801.0
18123,"Perry, IN",571.0
18125,"Pike, IN",639.0
18127,"Porter, IN",1004.0
18129,"Posey, IN",695.0
18131,"Pulaski, IN",676.0
18133,"Putnam, IN",832.0
18135,"Randolph, IN",707.0
18137,"Ripley, IN",647.0
18139,"Rush, IN",755.0
18141,"St. Joseph, IN",885.0
18143,"Scott, IN",733.0
18145,"Shelby, IN",830.0
18147,"Spencer, IN",681.0
18149,"Starke, IN",684.0
18151,"Steuben, IN",813.0
18153,"Sullivan, IN",703.0
18155,"Switzerland, IN",619.0
18157,"Tippecanoe, IN",929.0
18159,"Tipton, IN",776.0
18161,"Union, IN",808.0
18163,"Vanderburgh, IN",854.0
18165,"Vermillion, IN",709.0
18167,"Vigo, IN",792.0
18169,"Wabash, IN",698.0
18171,"Warren, IN",829.0
18173,"Warrick, IN",920.0
18175,"Washington, IN",663.0
18177,"Wayne, IN",751.0
18179,"Wells, IN",726.0
18181,"White, IN",756.0
18183,"Whitley, IN",799.0
19001,"Adair, IA",646.0
19003,"Adams, IA",704.0
19005,"Allamakee, IA",670.0
19007,"Appanoose, IA",703.0
19009,"Audubon, IA",659.0
19011,"Benton, IA",683.0
19013,"Black Hawk, IA",844.0
19015,"Boone, IA",779.0
19017,"Bremer, IA",755.0
19019,"Buchanan, IA",746.0
19021,"Buena Vista, IA",737.0
19023,"Butler, IA",692.0
19025,"Calhoun, IA",620.0
19027,"Carroll, IA",644.0
19029,"Cass, IA",647.0
19031,"Cedar, IA",778.0
19033,"Cerro Gordo, IA",762.0
19035,"Cherokee, IA",544.0
19037,"Chickasaw, IA",625.0
19039,"Clarke, IA",653.0
19041,"Clay, IA",718.0
